,IDPdv,IDProducto,Valor,Fecha,PreSugerido,Fecha_Mes
0,1596677,122965,9990,2021-10-01,11400,2021-10
1,1596677,123072,6190,2021-10-01,7950,2021-10
2,1596677,122945,2990,2021-10-01,37300,2021-10
3,1596677,123033,13990,2021-10-01,16750,2021-10
4,1596677,122959,37390,2021-10-01,47800,2021-10
5,1596677,123030,28990,2021-10-01,40100,2021-10
6,1596677,122947,18590,2021-10-01,22700,2021-10
7,1596677,122957,14990,2021-10-01,19100,2021-10
8,1596677,123056,10390,2021-10-01,8850,2021-10
9,1596677,122944,29990,2021-10-01,37300,2021-10
10,1596677,122958,37390,2021-10-01,43450,2021-10
11,1596677,123081,30990,2021-10-01,26000,2021-10
12,1596677,122946,16990,2021-10-01,22700,2021-10
13,1596677,122929,5990,2021-10-01,7050,2021-10
14,1596677,123043,9990,2021-10-01,9800,2021-10
15,1596677,122964,9990,2021-10-01,12600,2021-10
16,1596677,123039,12990,2021-10-01,13800,2021-10
17,1596677,122916,9590,2021-10-01,11950,2021-10
18,1596677,123040,9990,2021-10-01,9800,2021-10
19,1596677,122912,21590,2021-10-01,26400,2021-10
20,1596677,122907,6190,2021-10-01,6600,2021-10
21,1596737,122891,9990,2021-10-01,8500,2021-10
22,1597131,122929,5930,2021-10-01,7050,2021-10
23,1597131,122893,10550,2021-10-01,126735,2021-10
24,1597131,122947,19250,2021-10-01,22700,2021-10
25,1597131,123038,12600,2021-10-01,13800,2021-10
26,1597131,122938,24100,2021-10-01,30250,2021-10
27,1597131,123083,12350,2021-10-01,16300,2021-10
28,1597131,122954,5324,2021-10-01,10700,2021-10
29,1597131,122952,7200,2021-10-01,5950,2021-10
30,1597131,123082,12300,2021-10-01,16300,2021-10
31,1597131,123082,12300,2021-10-01,16300,2021-10
32,1597131,122939,7963,2021-10-01,15900,2021-10
33,1597131,122946,19250,2021-10-01,22700,2021-10
34,1597131,122945,32300,2021-10-01,37300,2021-10
35,1597131,122949,12513,2021-10-01,16400,2021-10
36,1597131,122948,8450,2021-10-01,16400,2021-10
37,1597131,122937,15665,2021-10-01,30250,2021-10
38,1597131,122898,7690,2021-10-01,8250,2021-10
39,1597131,122953,7200,2021-10-01,5950,2021-10
40,1597131,123058,10900,2021-10-01,9250,2021-10
41,1597131,122942,7963,2021-10-01,15900,2021-10
42,1597131,123040,10600,2021-10-01,9800,2021-10
43,1597174,122954,11200,2021-10-01,10700,2021-10
44,1597174,122952,7200,2021-10-01,5950,2021-10
45,1597174,122910,8740,2021-10-01,9800,2021-10
46,1597174,123053,25100,2021-10-01,21000,2021-10
47,1597174,123054,6480,2021-10-01,5500,2021-10
48,1597174,122949,13150,2021-10-01,16400,2021-10
49,1597174,122939,12500,2021-10-01,15900,2021-10
50,1597174,123043,10950,2021-10-01,9800,2021-10
51,1597174,123072,7390,2021-10-01,7950,2021-10
52,1597174,123077,5760,2021-10-01,6650,2021-10
53,1597174,123039,15900,2021-10-01,13800,2021-10
54,1597174,122902,8840,2021-10-01,10450,2021-10
55,1597174,122945,33150,2021-10-01,37300,2021-10
56,1597174,122926,26800,2021-10-01,21550,2021-10
57,1597174,122969,25950,2021-10-01,30550,2021-10
58,1597174,123052,25100,2021-10-01,21000,2021-10
59,1597174,122892,12950,2021-10-01,12600,2021-10
60,1597174,123055,6480,2021-10-01,5500,2021-10
61,1597174,122944,33150,2021-10-01,37300,2021-10
62,1597174,122948,13150,2021-10-01,16400,2021-10
63,1597174,122937,35850,2021-10-01,30250,2021-10
64,1597174,122959,41000,2021-10-01,47800,2021-10
65,1597174,123036,18000,2021-10-01,18150,2021-10
66,1597174,123040,10950,2021-10-01,9800,2021-10
67,1597174,122953,7200,2021-10-01,5950,2021-10
68,1597174,122907,6470,2021-10-01,6600,2021-10
69,1597174,122909,8740,2021-10-01,9800,2021-10
70,1597174,123078,5760,2021-10-01,6650,2021-10
71,1597174,122958,37250,2021-10-01,43450,2021-10
72,1597257,122945,31850,2021-10-01,37300,2021-10
73,1597257,123039,12600,2021-10-01,13800,2021-10
74,1597257,123082,12250,2021-10-01,16300,2021-10
75,1597257,122944,31850,2021-10-01,37300,2021-10
76,1597257,123030,36500,2021-10-01,40100,2021-10
77,1597257,122917,10750,2021-10-01,11950,2021-10
78,1597257,122909,8560,2021-10-01,9800,2021-10
79,1597257,123040,10950,2021-10-01,9800,2021-10
80,1597257,123078,5350,2021-10-01,6650,2021-10
81,1597257,123083,12550,2021-10-01,16300,2021-10
82,1597257,123057,18650,2021-10-01,16200,2021-10
83,1597257,122926,22550,2021-10-01,21550,2021-10
84,1597257,122937,23700,2021-10-01,30250,2021-10
85,1597257,122912,20000,2021-10-01,26400,2021-10
86,1597257,122954,10260,2021-10-01,10700,2021-10
87,1597257,122891,10750,2021-10-01,8500,2021-10
88,1597257,122938,23700,2021-10-01,30250,2021-10
89,1597257,122948,12050,2021-10-01,16400,2021-10
90,1597257,122946,18550,2021-10-01,22700,2021-10
91,1597257,122898,7400,2021-10-01,8250,2021-10
92,1597257,122952,6580,2021-10-01,5950,2021-10
93,1597257,122911,27150,2021-10-01,30100,2021-10
94,1597257,122918,10750,2021-10-01,11950,2021-10
95,1597257,122892,12150,2021-10-01,12600,2021-10
96,1597257,122893,13450,2021-10-01,126735,2021-10
97,1597257,122953,6580,2021-10-01,5950,2021-10
98,1597257,123056,9090,2021-10-01,8850,2021-10
99,1597257,122929,6080,2021-10-01,7050,2021-10
100,1597257,123032,1540,2021-10-01,16750,2021-10
101,1597257,123036,18000,2021-10-01,18150,2021-10
102,1597257,122894,10600,2021-10-01,9250,2021-10
103,1597257,123033,15400,2021-10-01,16750,2021-10
104,1597257,122947,18550,2021-10-01,22700,2021-10
105,1597257,123058,10900,2021-10-01,9250,2021-10
106,1597257,122942,12050,2021-10-01,15900,2021-10
107,1597284,122953,7200,2021-10-01,5950,2021-10
108,1597284,123053,25100,2021-10-01,21000,2021-10
109,1597284,122944,33150,2021-10-01,37300,2021-10
110,1597284,122942,12500,2021-10-01,15900,2021-10
111,1597284,123055,6480,2021-10-01,5500,2021-10
112,1597284,122948,13150,2021-10-01,16400,2021-10
113,1597284,122947,20150,2021-10-01,22700,2021-10
114,1597284,123057,18650,2021-10-01,16200,2021-10
115,1597284,123036,18000,2021-10-01,18150,2021-10
116,1597284,123083,12500,2021-10-01,16300,2021-10
117,1597284,123033,15400,2021-10-01,16750,2021-10
118,1597284,122945,33150,2021-10-01,37300,2021-10
119,1597284,122939,12500,2021-10-01,15900,2021-10
