,IDProducto,Categoria,SubCategoria
0,122902,Quitagrasa,Quitagrasa Pistola
1,122904,Quitagrasa,Quitagrasa Repuesto
2,122905,Quitagrasa,Multiusos Repuesto
3,122907,Quitagrasa,Quitagrasa Repuesto
4,122908,Quitagrasa,Multiusos Pistola
5,125010,Limpia Vidrios,Vidrios Repuesto
6,125011,Limpia Vidrios,Vidrios Repuesto
7,125032,Limpia Vidrios,Vidrios Repuesto
8,125033,Limpia Vidrios,Vidrios Pistola
9,123032,Limpia Baños,Liquido
10,123033,Limpia Baños,Liquido
11,123034,Limpia Baños,Pastillas Blanco
12,123079,Quitagrasa,Quitagrasa Pistola
13,123080,Quitagrasa,Quitagrasa Pistola
14,124993,Quitagrasa,Quitagrasa Pistola
15,125008,Quitagrasa,Quitagrasa Repuesto
16,125009,Quitagrasa,Quitagrasa Repuesto
17,125029,Quitagrasa,Quitagrasa Repuesto
18,125030,Quitagrasa,Quitagrasa Repuesto
19,125031,Quitagrasa,Quitagrasa Repuesto
20,125041,Quitagrasa,Quitagrasa Repuesto
21,125042,Quitagrasa,Quitagrasa Pistola
22,129219,Quitagrasa,Quitagrasa Repuesto
23,123035,Limpia Baños,Pastillas Azules
24,122956,Detergentes,Ropa Oscura 1800ml
25,122957,Detergentes,Todos Los Dias 1800ml
26,122958,Detergentes,Todos Los Dias 3785ml
27,122959,Detergentes,Ropa Oscura 3785ml
28,122960,Detergentes,Ropa Bebe 900ml
29,122961,Detergentes,Ropa Oscura 500ml
30,122962,Detergentes,Ropa Oscura 5000ml
31,122963,Detergentes,Todos Los Dias 5000ml
32,122964,Detergentes,Ropa Oscura 900ml
33,122965,Detergentes,Todos Los Dias 900ml
34,122966,Detergentes,Ropa Oscura 5000ml
35,122967,Detergentes,Todos Los Dias 5000ml
36,122968,Detergentes,Todos Los Dias 300ml
37,122969,Detergentes,Ropa Bebe 2000ml
38,123036,Limpia Baños,Pastillas Azules
39,123037,Limpia Baños,Pastillas Azules
40,125012,Limpia Baños,Pastillas Blanco
41,122911,Lava Vajillas,Tabletas
42,122912,Lava Vajillas,Abrillantador
43,123084,Detergentes,Todos Los Dias 3785ml + 900 Ml
44,123085,Detergentes,Ropa Oscura 3785ml + 900 Ml
45,124976,Detergentes,Todos Los Dias 1800ml
46,124977,Detergentes,Todos Los Dias 1000ml
47,124978,Detergentes,Todos Los Dias 2000ml
48,124979,Detergentes,Todos Los Dias 3785ml X2
