,IDProducto,Categoria,SubCategoria,IDPdv,Valor,Fecha,PreSugerido,Ciudad,Depto,Cadena,Regional
0,122902,Quitagrasa,Quitagrasa Pistola,1597174,8840,2021-10-01,10450,Valledupar,CESAR,Grupo Comercial Éxito,Atlantico
1,122907,Quitagrasa,Quitagrasa Repuesto,1597174,6470,2021-10-01,6600,Valledupar,CESAR,Grupo Comercial Éxito,Atlantico
2,122958,Detergentes,Todos Los Dias 3785ml,1597174,37250,2021-10-01,43450,Valledupar,CESAR,Grupo Comercial Éxito,Atlantico
3,122959,Detergentes,Ropa Oscura 3785ml,1597174,41000,2021-10-01,47800,Valledupar,CESAR,Grupo Comercial Éxito,Atlantico
4,122969,Detergentes,Ropa Bebe 2000ml,1597174,25950,2021-10-01,30550,Valledupar,CESAR,Grupo Comercial Éxito,Atlantico
5,123036,Limpia Baños,Pastillas Azules,1597174,18000,2021-10-01,18150,Valledupar,CESAR,Grupo Comercial Éxito,Atlantico
6,122909,Limpiadores Especializados,Limpiadores De Hornos,1597174,8740,2021-10-01,9800,Valledupar,CESAR,Grupo Comercial Éxito,Atlantico
7,122910,Limpiadores Especializados,Limpiadores De Hornos,1597174,8740,2021-10-01,9800,Valledupar,CESAR,Grupo Comercial Éxito,Atlantico
8,122926,Limpiadores Especializados,Pulidores De Metales En Plata,1597174,26800,2021-10-01,21550,Valledupar,CESAR,Grupo Comercial Éxito,Atlantico
9,123052,Limpia Pisos Especializados,Pisos,1597174,25100,2021-10-01,21000,Valledupar,CESAR,Grupo Comercial Éxito,Atlantico
10,123053,Limpia Pisos Especializados,Pisos,1597174,25100,2021-10-01,21000,Valledupar,CESAR,Grupo Comercial Éxito,Atlantico
11,122937,Desmanchadores,Liquido Blanco,1597174,35850,2021-10-01,30250,Valledupar,CESAR,Grupo Comercial Éxito,Atlantico
12,122939,Desmanchadores,Liquido Rosa,1597174,12500,2021-10-01,15900,Valledupar,CESAR,Grupo Comercial Éxito,Atlantico
13,122944,Desmanchadores,Polvo Blanco,1597174,33150,2021-10-01,37300,Valledupar,CESAR,Grupo Comercial Éxito,Atlantico
14,122945,Desmanchadores,Polvo Rosa,1597174,33150,2021-10-01,37300,Valledupar,CESAR,Grupo Comercial Éxito,Atlantico
15,122948,Desmanchadores,Polvo Blanco,1597174,13150,2021-10-01,16400,Valledupar,CESAR,Grupo Comercial Éxito,Atlantico
16,122949,Desmanchadores,Polvo Blanco,1597174,13150,2021-10-01,16400,Valledupar,CESAR,Grupo Comercial Éxito,Atlantico
17,122952,Desmanchadores,Polvo Blanco,1597174,7200,2021-10-01,5950,Valledupar,CESAR,Grupo Comercial Éxito,Atlantico
18,122953,Desmanchadores,Polvo Rosa,1597174,7200,2021-10-01,5950,Valledupar,CESAR,Grupo Comercial Éxito,Atlantico
19,123054,Limpia Pisos Especializados,Pisos,1597174,6480,2021-10-01,5500,Valledupar,CESAR,Grupo Comercial Éxito,Atlantico
20,123055,Limpia Pisos Especializados,Pisos,1597174,6480,2021-10-01,5500,Valledupar,CESAR,Grupo Comercial Éxito,Atlantico
21,123072,Limpia Pisos,Sanpic Mascotas,1597174,7390,2021-10-01,7950,Valledupar,CESAR,Grupo Comercial Éxito,Atlantico
22,123077,Limpia Pisos,Lavanda,1597174,5760,2021-10-01,6650,Valledupar,CESAR,Grupo Comercial Éxito,Atlantico
23,123078,Limpia Pisos,Vainilla,1597174,5760,2021-10-01,6650,Valledupar,CESAR,Grupo Comercial Éxito,Atlantico
24,122892,Betun,Pasta 96gr Negro,1597174,12950,2021-10-01,12600,Valledupar,CESAR,Grupo Comercial Éxito,Atlantico
25,123039,Desinfeccion,Aerosoles,1597174,15900,2021-10-01,13800,Valledupar,CESAR,Grupo Comercial Éxito,Atlantico
26,123040,Desinfeccion,Pañitos,1597174,10950,2021-10-01,9800,Valledupar,CESAR,Grupo Comercial Éxito,Atlantico
27,123043,Desinfeccion,Pañitos,1597174,10950,2021-10-01,9800,Valledupar,CESAR,Grupo Comercial Éxito,Atlantico
28,122954,Prelavado,Prelavado Repuesto,1597174,11200,2021-10-01,10700,Valledupar,CESAR,Grupo Comercial Éxito,Atlantico
29,122902,Quitagrasa,Quitagrasa Pistola,1597286,9990,2021-10-01,10450,Tunja,BOYACA,Grupo Comercial Éxito,Cundi-Boyaca
30,122902,Quitagrasa,Quitagrasa Pistola,1597286,9990,2021-10-02,10450,Tunja,BOYACA,Grupo Comercial Éxito,Cundi-Boyaca
31,122905,Quitagrasa,Multiusos Repuesto,1597286,6410,2021-10-01,7450,Tunja,BOYACA,Grupo Comercial Éxito,Cundi-Boyaca
32,122907,Quitagrasa,Quitagrasa Repuesto,1597286,6410,2021-10-01,6600,Tunja,BOYACA,Grupo Comercial Éxito,Cundi-Boyaca
33,122907,Quitagrasa,Quitagrasa Repuesto,1597286,6450,2021-10-02,6600,Tunja,BOYACA,Grupo Comercial Éxito,Cundi-Boyaca
34,122908,Quitagrasa,Multiusos Pistola,1597286,9990,2021-10-01,11950,Tunja,BOYACA,Grupo Comercial Éxito,Cundi-Boyaca
35,123032,Limpia Baños,Liquido,1597286,13300,2021-10-02,16750,Tunja,BOYACA,Grupo Comercial Éxito,Cundi-Boyaca
36,123033,Limpia Baños,Liquido,1597286,13900,2021-10-02,16750,Tunja,BOYACA,Grupo Comercial Éxito,Cundi-Boyaca
37,122957,Detergentes,Todos Los Dias 1800ml,1597286,15600,2021-10-02,19100,Tunja,BOYACA,Grupo Comercial Éxito,Cundi-Boyaca
38,122959,Detergentes,Ropa Oscura 3785ml,1597286,45700,2021-10-02,47800,Tunja,BOYACA,Grupo Comercial Éxito,Cundi-Boyaca
39,122965,Detergentes,Todos Los Dias 900ml,1597286,9620,2021-10-02,11400,Tunja,BOYACA,Grupo Comercial Éxito,Cundi-Boyaca
40,123036,Limpia Baños,Pastillas Azules,1597286,18000,2021-10-02,18150,Tunja,BOYACA,Grupo Comercial Éxito,Cundi-Boyaca
41,122911,Lava Vajillas,Tabletas,1597286,27150,2021-10-02,30100,Tunja,BOYACA,Grupo Comercial Éxito,Cundi-Boyaca
42,122912,Lava Vajillas,Abrillantador,1597286,20000,2021-10-02,26400,Tunja,BOYACA,Grupo Comercial Éxito,Cundi-Boyaca
43,123030,Lava Vajillas,Polvo,1597286,32800,2021-10-02,40100,Tunja,BOYACA,Grupo Comercial Éxito,Cundi-Boyaca
44,123056,Cuidado Muebles,Cubrerasguños,1597286,9770,2021-10-02,8850,Tunja,BOYACA,Grupo Comercial Éxito,Cundi-Boyaca
45,123058,Cuidado Muebles,Lustramuebles,1597286,10800,2021-10-02,9250,Tunja,BOYACA,Grupo Comercial Éxito,Cundi-Boyaca
46,122891,Limpiadores Especializados,Bronce Y Otros Pulidores De Metales,1597286,9100,2021-10-02,8500,Tunja,BOYACA,Grupo Comercial Éxito,Cundi-Boyaca
47,122909,Limpiadores Especializados,Limpiadores De Hornos,1597286,9840,2021-10-01,9800,Tunja,BOYACA,Grupo Comercial Éxito,Cundi-Boyaca
48,122909,Limpiadores Especializados,Limpiadores De Hornos,1597286,9840,2021-10-02,9800,Tunja,BOYACA,Grupo Comercial Éxito,Cundi-Boyaca
49,122910,Limpiadores Especializados,Limpiadores De Hornos,1597286,9840,2021-10-01,9800,Tunja,BOYACA,Grupo Comercial Éxito,Cundi-Boyaca
50,122910,Limpiadores Especializados,Limpiadores De Hornos,1597286,9840,2021-10-02,9800,Tunja,BOYACA,Grupo Comercial Éxito,Cundi-Boyaca
